NAME,total_pop,Male,Female
Adams,101407,49865,51542
Allegheny,1223348,585650,637698
Armstrong,68941,34013,34928
Beaver,170539,82279,88260
Bedford,49762,24705,25057
Berks,411442,201864,209578
Blair,127089,61708,65381
Bradford,62622,30828,31794
Bucks,625249,306663,318586
Butler,183862,90491,93371
Cambria,143679,71003,72676
Cameron,5085,2499,2586
Carbon,65249,32173,33076
Centre,153990,79763,74227
Chester,498886,245161,253725
Clarion,39988,19367,20621
Clearfield,81642,42126,39516
Clinton,39238,19231,20007
Columbia,67295,32276,35019
Crawford,88765,43333,45432
Cumberland,235406,115589,119817
Dauphin,268100,129619,138481
Delaware,558979,267849,291130
Elk,31946,15872,16074
Erie,280566,137957,142609
Fayette,136606,67007,69599
Forest,7716,5164,2552
Franklin,149618,73184,76434
Fulton,14845,7471,7374
Greene,38686,19929,18757
Huntingdon,45913,24278,21635
Indiana,88880,44200,44680
Jefferson,45200,22301,22899
Juniata,24636,12286,12350
Lackawanna,214437,103119,111318
Lancaster,519445,253836,265609
Lawrence,91108,43909,47199
Lebanon,133568,65161,68407
Lehigh,349497,169312,180185
Luzerne,320918,156829,164089
Lycoming,116111,56839,59272
McKean,43450,22159,21291
Mercer,116638,57106,59532
Mifflin,46682,22842,23840
Monroe,169842,83856,85986
Montgomery,799874,387964,411910
Montour,18267,8784,9483
Northampton,297735,145386,152349
Northumberland,94528,47195,47333
Perry,45969,23057,22912
Philadelphia,1526006,719813,806193
Pike,57369,28686,28683
Potter,17457,8724,8733
Schuylkill,148289,75175,73114
Snyder,39702,19597,20105
Somerset,77742,40029,37713
Sullivan,6428,3307,3121
Susquehanna,43356,21795,21561
Tioga,41981,20573,21408
Union,44947,24711,20236
Venango,54984,26910,28074
Warren,41815,20827,20988
Washington,207820,101035,106785
Wayne,52822,27704,25118
Westmoreland,365169,177722,187447
Wyoming,28276,14134,14142
York,434972,214563,220409
